time1 time2 time3 time4 time5
AAK1 0.290497078566144 1.68607744809837 1.2436425706982 0.159527652176441 0.55333674433647
AB019439.2 2.05826733715482 2.02467578600881 2.50385026007731 1.51096234323769 0.380860657567033
ABAT 0.156740355207495 1.20081036550669 1.31003054904405 1.01205386723673 1.22317370734151
ABCA2 0.395364041194232 0.729734414984061 1.17131644183984 1.02353740555009 1.52720493607933
ABCA7 0.544719365688734 1.0373569378759 1.10662901956032 0.454553875167548 1.0361499906845
ABCC2 -1.03064506464053 -0.116108764305352 0.209234669225964 0.0444623959090985 0.136625263639136
ABCD1 0.192181741476956 0.172003049808108 0.6146260842661 0.397237125724986 1.19994923864307
ABCG4 0.75382327522758 1.44327161404383 1.28061496264747 1.19150267743985 1.41965815460611
ABHD4 0.632864730512428 1.85567228280902 1.1719657762513 1.22083091133898 1.15417782480957
ABLIM1 0.52153552193708 1.30086259633117 0.0814480792163351 -0.546873037075094 -0.329229106507154
ABLIM2 0.212902040494555 0.115413633014659 0.682107106467795 0.895195713426919 1.36375491869857
AC002472.9 1.17922576114223 0.483461010458393 0.718504100218991 0.374883081711969 0.443472770550909
AC004841.1 -0.384146609977116 -0.162419656658442 0.700149354337577 1.01202487271564 0.446798890623922
AC005332.1 0.486611046338177 1.14421228888871 1.22931357943836 0.757393451755538 0.834798575527361
AC005481.5 0.901292374476682 1.04123996814593 1.32412056712693 0.829588843922846 0.588884172479426
AC006028.9 1.33634970030571 2.48759078299616 2.29412518617248 1.61733191491627 1.84845006770353
AC007040.7 1.60708368257704 0.809637523221281 0.337656637598883 0.810276226781312 0.74060570177647
AC007099.1 0.433393060235758 2.47847151372919 2.95516368210519 3.30164640495818 3.3213641922581
AC007246.3 0.421288482810747 0.799583045417703 0.697307570104084 1.75124018356196 1.76685438829627
AC007383.3 0.917424221619287 1.08420126932927 0.704896450209804 -0.196741476695434 -0.287763241956654
AC007405.6 1.2355399716516 1.28066173854142 2.25271353473848 1.90670510168779 1.26384144710512
AC008280.5 0.340698621443819 0.309127684584705 1.13700577349983 0.68628804483563 -0.0531475494710743
AC008494.1 0.930476158759964 1.06392764852895 0.237899084369499 0.171213409849782 0.161964339171437
AC008555.3 -0.0734574087478459 1.52196260717544 0.764257078496352 0.117796969041882 0.187548829284897
AC008733.3 0.736420727047183 0.960166166807165 1.12533245550629 0.406848065838697 0.398567623202504
AC008746.11 1.0793376996967 0.929694069053015 0.875423191555243 0.0797768266260516 -0.00420577313228431
AC008759.1 -0.014455143903556 0.284676147348226 0.68186476442151 1.0038862469319 0.701122873906068
AC008969.1 0.996613704716032 1.18959836669168 1.2080136175536 0.433620566884271 0.187706734525483
AC009171.1 0.932235005451826 1.88145547020485 1.25157490371253 0.930749577486663 0.513154363455077
AC010332.1 -0.190804195114122 0.685964715189197 1.49996376054413 1.85175955278148 1.24200191712402
AC010442.1 0.707535748329603 1.1682161712484 0.832500588271255 0.60793879345698 1.51362290652656
AC010531.3 0.420217964874112 0.688732863478899 0.61036925648805 0.704720205597972 1.30264994301769
AC010616.2 -0.0419423065250754 1.53880130116549 0.918430521238953 1.04999970380037 1.29789021413368
AC011466.2 1.03517309057019 0.892208063381374 1.10251130207728 0.0744113964682382 -0.222858002699565
AC011471.1 0.573591223182823 1.65019661986679 0.254644955755896 0.292725595372226 0.516454289888531
AC011477.2 0.740137978947514 0.81267765662749 0.922109357696984 1.11911001212596 1.02990808792743
AC011738.4 2.08397109142446 3.05313057695671 1.40008874393521 1.50040455603195 0.766353973435666
AC011815.1 0.888956167291816 0.584432896622032 0.61288159843548 0.409848604364278 -0.151622391071696
AC012507.3 1.05802061456376 2.12011675055239 2.63315184393257 1.41078621556006 1.68016151452093
AC015723.1 1.03195845261933 0.708985558976562 0.836509064264695 0.756289390754847 0.646490715038012
AC016700.5 1.19172530560341 0.41286478141258 0.581097324946768 0.60964485752055 0.823382113592975
AC021049.1 -0.800889679153483 -0.538956574822509 0.149945740022068 -0.147790923474534 0.28692946045184
AC021054.1 0.452219441262938 0.983541074871031 1.10576738435536 1.09271215144299 0.573513228522016
AC021755.4 0.403761289145755 1.10324097421967 0.826111588450599 0.995900534510801 0.2559040963048
AC022098.2 2.18709305640495 1.39309297988548 0.696992490769695 1.18278778908851 0.93056762764789
AC022405.2 0.0837028709479174 1.36254447249885 0.85381778192272 -0.303872649957074 0.0552746924967094
AC022506.1 0.429643242813809 1.40160691646938 0.86144529163695 1.00420885235682 0.992685311481356
AC022916.1 0.900093985892876 0.891745481102442 0.924597870612103 0.63832375589879 0.0424189322898109
AC023355.3 1.39562480980574 0.429736674778969 0.897104482298973 0.0704764349926573 0.256865777735441
AC023818.3 -0.325596736824079 0.334232133423958 0.58646163613752 1.15431603920145 0.623122022031898
AC024575.2 0.456287111877228 1.30469945092045 1.79196903550097 0.632028980352826 1.200974595424
AC025171.1 1.17649509543309 0.649072222536747 0.538835080138319 0.515513000268032 0.565533202255975
AC027607.1 0.560321009851227 0.185654836316133 0.305459139460708 1.06640338687684 0.812555976506263
AC034220.3 1.77055426990718 1.59106447558109 0.570229637792381 0.495204832909971 0.504483326469092
AC037473.1 -0.290426251769147 1.19920047431634 0.367350543299722 0.313383193595452 -0.19160343183792
AC046143.5 0.710319548160897 1.0057505623998 0.487007637873945 0.636750294871594 1.15959748891059
AC048382.5 0.379410174011011 1.24607968633559 1.22722472490622 0.547554474042822 0.953506915028405
AC055707.1 0.539372116502725 1.89962053218647 1.70556536767167 1.75231685277524 1.86500669827824
AC055839.1 0.538406658661196 1.93601740993037 1.75290700167491 1.31180230997693 1.40662991509623
AC058791.2 1.10257809345705 1.27837081491243 0.918071975096911 -0.116129610868335 -0.0471185683674944
AC063965.2 0.781993982682229 1.32166636812667 1.13371413279622 0.104540277156608 1.04576806825895
AC068282.3 0.348538607739433 0.548105424050086 0.93168777618826 1.25258897284603 0.00949660577523806
AC068302.3 1.15133382437868 0.586059413993205 0.84264638963948 0.43448866184495 0.699557625676582
AC069213.1 0.658038219840721 0.6376436841896 1.49269942413513 0.623667304309632 0.30775558251729
AC069257.4 1.193080662308 2.32262643033079 1.8224990595625 0.981369858312169 0.685015930945673
AC069257.9 0.565497184917287 1.41946357548461 1.35276520102962 0.774883333375485 1.19152626966397
AC069360.2 0.913218170978657 0.992218172181933 0.783546046669773 0.971969908686492 0.313580972765419
AC073508.1 0.996706321034518 0.465454990939747 0.547557658688472 0.436997828653387 0.2859014549835
AC073573.2 0.1947086713476 1.33895812381711 1.0432615283239 0.286440927894957 0.36119752529428
AC074138.3 0.56213568570331 1.19611013753566 0.880327670924173 0.462296976714298 1.09276492969935
AC074286.1 -0.968901757870048 -0.121567989998296 0.340633882581704 0.139195757318613 -0.162119273767522
AC079922.3 0.655612368473265 0.0873058494250378 0.250636131299701 0.148512884128949 1.37439546373707
AC084018.1 1.18207642355463 0.912031335988825 0.576022893518726 -0.0683677637286915 0.270497448445849
AC087650.2 0.363336599007436 1.86685878981595 1.69925292062303 1.4203612397863 1.07189640179491
AC087650.4 1.34860914489205 1.20227724967749 1.16796066208034 0.914803556058022 0.723238522476492
AC090023.1 0.220788021074568 1.00653115208826 0.838318614106981 1.40776829359803 0.691094636897737
AC090517.2 0.4309729429983 0.94753556378039 0.918215743823948 0.760506240905007 1.18074010289525
AC090587.5 1.19347407542427 0.909055727499182 0.344607793371136 0.0449054348358334 0.504483326469092
AC092117.1 0.468596078186211 0.433134830505309 1.13740256251935 1.11267952077431 0.870995294728846
AC092535.2 1.41419732273404 1.27066313504294 0.297060986762349 -0.22611140070739 0.250480981538896
AC093673.5 1.26529580215239 2.21859816271666 1.4907486418063 1.40293836165832 1.05564545011351
AC093734.11 0.476133525020614 0.700848087324629 0.779012883844643 0.676637622943553 1.14412958324686
AC097662.2 -0.263760977727353 0.600623511950665 0.955029560541795 1.20459983677875 0.815924125886292
AC098614.2 0.743813687876134 1.4963304015804 1.15096240522914 0.615728602183817 0.153529235685746
AC098776.1 1.25353598173998 1.08034510879371 0.585717554736576 0.42342947685439 0.530393806868696
AC103965.1 1.28772985705509 0.364404771185538 0.339036128088844 0.427549840917672 0.643299688157709
