time1 time2 time3 time4 time5
C20orf4 -0.504671235385739 -0.00834345852933505 0.130791872855331 0.134049521706573 0.15954079460391
HLA-C;HLA-B 0.022097333064992 0.00439247287100798 -0.540523296438219 0.134904686739384 0.37319643900717
AURKA 0.105162839242078 0.169988120731096 0.335462547607492 0.495328764614261 0.708160726742886
PDPR -0.187387707080472 -0.47383885289503 -0.0636409926426958 -0.488309335703363 0.244189468348303
MYO1G 0.0411795916044668 0.047204248795326 0.169825819567589 0.507705827018994 0.660931044926553
UBE2I 0.0325214861557725 -0.419215260067954 -0.0478175480213695 -0.123268887494347 0.106591188803047
HMGCL 0.451760680424737 0.218229045852289 0.365611185917855 0.357973152697431 0.640613772286041
SOAT1 0.158187860211671 -0.219958397584918 0.34098882880185 0.382080934402075 0.744390502320231
MAP1S 0.342762450806395 -0.00791308164326498 0.536000964153582 -0.00518437585972323 0.0790817308512046
PPP1R12C 0.322739839172352 0.418427002215525 0.467074668370306 0.408071698952367 0.518494383422945
PTGES3 0.298601763027335 0.13354299633674 0.25745907751892 0.252586818983466 0.255718326002514
MVK 0.0975481850203097 0.186179824483688 0.514573172829758 0.556053930797637 0.538764828825745
SMPD3 0.41002563612924 0.15530904701938 0.0741372642906245 0.136822732344771 0.21576406078678
DIAPH1 0.296279110299009 0.264183248386362 0.355553003325522 0.35274996988441 0.415018263473204
CPSF4 -0.11290026153255 -0.0186341741390509 -0.89390578884637 0.264269881647915 -0.0835197488201729
RPS27L 0.085374249368552 0.474853204728479 -0.138814468902282 -0.0295588974491164 0.1903550722579
PPIG -0.292428392886718 -0.0794293150029151 -0.163756333397909 -0.251204022914663 -0.0464212112487104
CCM2 0.207744333831696 0.00382821648848068 0.466356919547829 0.58249039794876 0.480780183980455
HMMR -0.10969486482593 0.257717784198314 0.448095214601946 0.638680798442784 1.33169930146135
TATDN1 0.329830419475832 0.134049521706573 0.116738924886533 0.587836324256273 0.306733854465149
MRPL13 -0.0812032604173944 0.595096877854869 0.0943872361380372 0.763121694026303 0.695699244856946
LYPLA2 -0.0258792730232589 -0.404685175919036 -0.107687869314373 0.0449699597540055 0.152419932225364
EIF2B4 -0.323658291026245 -0.179128828772152 -0.0618453070710695 0.0829578535182194 -0.301236440765231
CKAP2 0.387921202800789 0.0852364978089808 0.00639084627857416 -0.201759307458229 0.684248300521286
PDPK1;PDPK2 -0.304861451488449 0.233074148140629 0.0422339490443379 0.136140820712118 0.389243251550975
MAP1A -0.0229004021100788 -0.0798388806666705 0.179530995668323 0.542017049657129 0.350356951813154
EPB41L2 0.306073749507606 0.149120584911928 0.320810439266307 0.199288503769418 0.136283519734308
MOCS2 -0.0493519591352916 -0.559834397303065 -0.143393418693188 0.356642491808549 0.296101962086497
ATP5L -0.0809304876729839 -0.457226545544628 0.0236510296026748 -0.0852886748169874 -0.152767519261769
FDFT1 0.371347703579178 0.238442385139964 1.07081498571608 1.11238115207445 0.562836192859927
PXN -0.0448836782397647 0.0487255442342402 0.304754444994987 0.553023925779364 0.718711251541464
TRIM21 0.0378137785959306 0.00530443039452384 0.258942959026036 0.638254095153114 0.343988804355452
FRMD4B 0.201178041552437 0.413249665656048 0.0199454438847036 -0.106214296090968 0.145286177230469
B2M 0.14772943428839 0.621244249011115 0.394809123898412 0.0977179928503493 0.535457190193981
CDK17 0.154554108744889 -0.0554733358984315 0.46001242028543 0.862286644958751 1.40304578077968
RPTOR 0.482774707497541 -0.0721744169243166 0.0968074392029253 0.397410097363999 0.419179164289587
LIMA1 0.0102651409183447 0.275349728267033 0.64417181383756 0.779224302643873 0.981565224936942
DENR 0.0689675314116142 -0.0209110655816899 0.877870671640891 -0.106884288691543 0.26035924561936
RGPD1;RGPD2 0.0217311389261909 0.278146157836535 0.879276484112139 1.32063025329172 1.3827767574544
NVL -0.00460925325258967 0.408320583064263 -0.271545198485687 -0.0229004021100788 0.285002827960929
PRC1 -0.0210532520540752 0.0139459142125649 0.305574411309528 0.644848383721099 0.906061284364147
KIF21A 0.243267029032421 0.479693423163951 0.388393224006565 0.0783808683097682 0.414710525458542
BCHE 0.229703739733726 0.485599960963384 0.573166331720613 0.787243916596362 1.12393692915223
DLGAP4 0.271112991403414 -0.000865357443253293 0.0602017242273756 0.781008099459666 0.620245974592079
FTH1 0.00364018005872851 0.189696750777654 0.0851905835451482 0.865200783605534 0.750032895132768
GMFB -0.991825658697696 0.0575568101294545 0.0235777044162127 0.0682110609511635 0.0655967294138255
MTMR3 0.095157560925614 0.489017832513262 -0.11809388938682 0.192842946830752 0.252518070932279
C15orf24 0.0886995805046791 0.522778605022444 0.731302124541615 0.855092187415784 0.305752726540932
LDLR 0.329703495892506 0.544729337737845 0.903117476244885 0.44795744863541 0.226054296655561
RAB8B;RAB13 0.0596302526405162 -0.0224743465748992 0.406120404542791 0.503506971423553 0.581799255499378
BIRC5 -0.000721167243654123 0.157350964770635 0.385412642949012 0.146068207959151 0.872366720274126
