Gene_Name	Ratio_2h	Ratio_6h	Ratio_12h	Ratio_18h	Ratio_24h
TRBC1;TRBC2	0.19119486805607	0.0030183879507344	0.169939428464856	0.141477846998977	0.388223278580918
UBA6	0.0600362749608926	0.0574367018974941	0.142608142707513	0.0774215434914429	0.167863421212646
ESYT2	0.0328904297895107	-0.0809304876729839	0.174784237694339	0.245950572998997	0.260514776417428
ILVBL	0.000620492282985858	-0.0439043942956212	-0.0126401807787704	-0.00719550140420373	0.262071007285783
ACO2	-0.0953168415347697	-0.0556121566866925	0.0655967294138255	0.133020828244774	0.231193200588461
RTFDC1	-0.133432006980735	0.0505771253185825	-0.0301241614551288	-0.185993370069966	-0.171847313573341
C20orf4	-0.504671235385739	-0.00834345852933505	0.130791872855331	0.134049521706573	0.15954079460391
ADD1	0.162476512269888	0.119933605034197	0.22317168707922	0.145748960540606	0.0686043760881102
RPS6	-0.0600473836699389	-0.398350370345965	-0.396378726979646	-0.697506958554785	-0.533363998339815
HLA-C;HLA-B	0.022097333064992	0.00439247287100798	-0.540523296438219	0.134904686739384	0.37319643900717
NBAS	0.103565384842891	0.21623325715708	0.0104976391376187	0.152885009916414	0.275786313242642
AURKA	0.105162839242078	0.169988120731096	0.335462547607492	0.495328764614261	0.708160726742886
KIAA0564	-0.0274371827068512	-0.0104934192484527	0.272436724722258	0.0372807139444042	0.334225229146789
SBNO1	-0.0329471640991291	0.036496282584207	-0.071076162010959	-0.303926836480695	-0.155490197747562
WDR91	0.0701787097901753	0.198443984791342	0.325720148620552	0.385111155033827	0.308769592328135
SUN1	-0.0361868028478463	-0.259664183948651	-0.579855951350684	-0.362441834125645	0.0679237061463067
CNOT1	0.0392955480234485	0.0214382505242534	0.0326838097307199	-0.0147837526270703	-0.0717626693000912
HS2ST1	0.0118352315074861	0.128724080903487	0.276188088140538	0.351681825226723	0.348280086670892
PGP	0.127746463591527	-0.0756010848240282	-0.0258792730232589	0.0905571313185942	0.128314031696412
C5orf51	0.0874114461549775	-0.0951817893426852	-0.0996318500144603	-0.132116159533725	0.101613619651377
HCFC1	-0.00977712161152997	-0.00100953323319866	0.0146890269378484	0.0597956553479612	-0.0802483300921202
MAPK8;MAPK10	0.0421893831351154	-0.0781999199213716	0.0382433350726203	0.0796762072173757	0.0412835081047685
ZNF281	-0.189286906583612	-0.383718114635775	-0.4015212501086	-1.02311338270357	-0.547252389012155
ABI1	0.0599460379030447	0.132767723850987	0.0469061435900854	0.104247576146391	0.0451783470534111
SEPT8	0.124392913463825	0.0628364269142868	0.0680598144456431	0.125022093923165	0.0566112283770733
NUDT5	-0.0186341741390509	-0.00676478187842236	0.0696638347320677	0.114175772334332	0.0427837084811747
WBP2	0.152211497780521	0.117677802567025	0.188709831466877	0.299915450506908	0.292775617786951
PRCC	0.139140468249354	0.0246779737156557	0.0841655455353408	0.10995027330894	0.0539878595760905
ZMYM3	0.0809421908626238	-0.0174943794592725	-0.105946211905325	-0.299713560064242	-0.110897723329814
SMCHD1	0.0968382960197224	-0.00820001383213612	0.0702847362923331	-0.107286134952222	-0.0330881693321878
PKMYT1	-0.0497701518163845	-0.512479746919633	-0.253626278421377	-0.253021095711513	-0.361880627038438
UNC119B	-0.0712134896052646	-0.298423711931038	-0.0426443374084937	-0.272978695373574	0.132103536007345
WDR45	0.139760220166874	-0.322620422361685	-0.306495572259637	-0.302172799740752	0.399254502037916
POLA1	0.0294408032665982	-0.057415612427243	0.0683320695730039	-0.0869196067373262	-0.0772429989324604
ANXA6	0.0228006864749852	0.04300664362271	0.102496233997071	0.293252866072707	0.441007526445384
TP53BP1	0.116942296539936	0.144313220742338	0.134176180841309	0.279441341999636	0.0834622095186031
CRYZ	-0.0234682805039054	-0.0419438299701673	0.0658534192534306	0.123748288137177	0.229856000384433
CPNE1	0.117568235348761	0.00866772913819209	-0.0247451901971378	0.043229613219038	-0.0113525072299052
PIP5K1A	0.120011994906087	0.0201356176879056	0.115206737456474	0.204349403283511	0.0252798091970358
ATP6AP1	-0.0248869993131796	-0.0167815502334021	0.0283810370282816	-0.0494913701651037	0.235857701788915
FMR1	-0.0611540632071007	0.0984746524557509	-0.0618453070710695	-0.118891252178427	-0.37528970853542
PDPR	-0.187387707080472	-0.47383885289503	-0.0636409926426958	-0.488309335703363	0.244189468348303
ARMC8	-0.0768326955573985	0.00144341686966884	0.212166378272032	0.302190602707401	0.276852135386373
DDX52	-0.0907179597677998	-0.774502445109659	-1.01435529297707	-0.810319703411077	-1.04663074794016
