Gene_symbol Ratio_2h Ratio_6h Ratio_12h Ratio_18h Ratio_24h Count_2h Count_6h Count_12h Count_18h Count_24h
AAAS 0.0102796709593949 -0.0411027718191281 -0.0258792730232589 -0.0489336451979224 0.0174170530774094 16 15 16 18 16
AAGAB 0.0337762796521024 0.17214846431146 0.249839449027849 -0.114766792665514 -0.464250033911404 3 3 1 2 4
AAK1 -0.0143552929770701 0.182245780372409 0.590158334510393 1.06452516526663 1.15312562618508 4 13 7 6 16
AAMP -0.00963381939726867 -0.13303737874735 -0.187261004841697 -0.31695666818183 -0.369382725338941 12 11 8 12 11
AARS 0.0495913105548066 0.0803471927143721 0.0565812200561489 0.0456101022351455 0.0858641392404942 28 32 33 39 37
AARS2 0.184654109062206 -0.147957881387101 0.0212771872446978 0.0161909913756188 0.0215407547014174 8 9 6 6 9
AARSD1;PTGES3L-AARSD1 0.0236656950871895 0.0590439776146596 0.129244695866892 0.218564743694666 0.0163952626480704 7 8 7 7 7
AASDHPPT 0.289686163749868 -0.180147861158429 -0.0915305931206162 -0.10929368902294 -0.197110514712696 6 7 7 8 10
AATF -0.248048998437206 -0.151988666422506 -0.101918959711072 -0.213502819983917 -0.186880831347234 9 10 10 14 12
ABCB7 -0.00216242115062078 -0.0684644509669058 0.0886075327563991 0.0519075491350435 0.17175838859166 12 14 9 13 11
ABCD3 0.0167747003336094 -0.0762854428089158 0.021599331787011 -0.0143552929770701 0.157495777321912 21 26 12 22 23
ABCE1 -0.00259451670845239 -0.0947765568955974 -0.00633393372205048 -0.0803847874146045 -0.166201252662703 16 21 21 21 17
ABCF1 0.0674701045324974 -0.241840183564671 -0.0974759590132686 -0.366252263699564 -0.0989584800881688 26 30 21 22 30
ABCF2 0.0643592194698266 -0.149259365499623 -0.169027045134817 -0.429321369941442 -0.416731670820911 20 20 18 20 18
ABCF3 -0.0272956240509075 0.0812626761507307 0.137060684344753 0.0934941743739967 0.179890492894037 21 21 21 23 20
ABHD10 -0.119820952121875 -0.147697443613871 -0.125386605365814 0.0667144186280626 0.118476329278266 19 19 16 18 18
ABHD12 NA -0.110229592423189 0.0151554892521688 -0.198619873219215 0.224165621008226 0 4 2 3 4
ABHD14B -0.0904469802326514 -0.322158907629377 -0.103665482765697 0.0922171330403386 0.270277574669619 9 15 11 12 13
ABI1 0.0599460379030447 0.132767723850987 0.0469061435900854 0.104247576146391 0.0451783470534111 9 11 6 14 14
ABR -0.0216218578515189 0.0514141027917845 0.037443573914198 0.330392643893112 0.231023866209421 8 8 12 8 13
ABT1 -0.140255134034916 -0.367147374657944 -0.35456499895441 -0.359746046905471 -0.412185359156707 9 6 4 3 6
ACAA1 0.0826217141131685 0.0433039440762753 0.0779848791696404 0.0522814845155546 0.0603070200040267 5 4 5 6 5
ACAA2 -0.00504061670053016 0.0473086001713237 0.144759742252583 0.18322828614178 0.232972412579144 7 9 7 10 11
ACACA 0.183539552510743 0.143643697496389 0.106730994618249 -0.0773797407970136 -0.105141660323423 13 16 13 12 17
ACAD8 -0.479954831690671 -0.581977845763114 -0.583326519110026 -0.406427824526981 -0.209890007234039 4 4 4 2 5
ACAD9 -0.0127831846982896 -0.0413831790194062 0.0167309139687977 0.0563711792848578 -0.000721167243654123 9 11 9 10 12
ACADM -0.00719550140420373 -0.0356239097307212 0.0471744355027523 0.16483586442404 0.238510465694972 21 23 20 21 23
ACADS -0.000721167243654123 -0.0665370023957912 0.047606788556679 0.250337021786211 0.38023956359641 6 7 2 3 6
ACADSB -0.100843124433112 -0.0832474137479362 -0.048096653272944 0.00657924158711509 0.0441367114270256 8 9 8 7 8
ACADVL -0.155101558125703 -0.0690146779151805 -0.105275783415687 0.0473533245002708 0.162282764404445 24 26 23 27 28
ACAP1 0.252810272777515 0.102651134309758 -0.0136409106693863 0.200266113475219 0.347894449808024 5 4 3 2 2
ACAP2 -0.0163536835778348 0.0298384163930299 -0.161436265825987 -0.23204671335011 -0.12366619645382 5 6 5 5 7
ACAT1 -0.0564448010196681 -0.0492125346325603 0.0513094540491027 0.0572865806677393 0.268590811838438 24 25 19 22 21
ACAT2 0.0609991549304867 0.0882087270310655 0.310539803424179 0.448469217125163 0.358398483708728 14 22 17 16 17
ACBD3 0.0111372025043553 -0.0805212318314924 -0.0945063386814923 -0.0686020273786715 0.0253679037446445 4 8 6 7 10
ACBD5 0.0696638347320677 -0.0454429707611672 0.18380172365671 0.282947668939489 0.277988714716583 3 4 3 3 4
ACBD6 0.0227127485438833 0.0644949918837818 0.0688918665137429 0.184768891721162 0.259823656730496 3 6 3 3 4
ACBD7 -0.130667339815507 -0.0485152099339395 -0.00561556740690985 0.243950260775482 0.358121079696704 11 9 9 9 9
ACIN1 0.0111808194239509 0.0348104590991811 0.0687556796971136 0.0908797598758666 0.00585477886179345 44 38 31 35 38
ACLY 0.0994480840109446 0.0692550942206848 0.103580885608863 0.0535535902684538 0.0614206170826075 46 60 52 59 58
ACO1 0.0590439776146596 -0.0494913701651037 0.136045695871478 0.248467723526404 0.307572801910292 23 28 16 22 26
ACO2 -0.0953168415347697 -0.0556121566866925 0.0655967294138255 0.133020828244774 0.231193200588461 35 47 35 41 41
ACOT13 0.0173002403943864 0.032152636848694 0.116300990980189 0.215094044849375 0.362306296408083 8 8 6 7 7
ACOT2 -0.0144981269993529 -0.275960580278064 -0.0356239097307212 -0.10929368902294 0.163978941103668 12 17 13 16 15
ACOT7 0.0151554892521688 0.0752159943555013 0.0396069130549354 -0.0419438299701673 -0.0807940819582424 25 30 25 35 37
ACOT8 0.197186402467712 -0.0374525099396066 0.124157041515996 0.228131319914972 0.0901424291603561 3 3 3 2 3
ACOX1 -0.0978804340519131 0.118476329278266 0.165984616528956 0.429711951699294 0.372542574918759 4 7 6 5 9
ACP1 -0.0328061450832414 -0.0659858294985853 0.0363779148905923 0.0388953202709472 0.120592212377186 11 13 11 10 12
ACSF2 -0.128557364973757 -0.173767067736706 0.0202087681339083 0.0852211928920098 0.493418367588612 4 3 3 3 6
ACSF3 0.124503000238205 0.0142081455872888 0.116785854262064 -0.00144197417390627 0.209644986289159 15 17 12 17 18
ACSL3 -0.00877370706601606 -0.0690146779151805 0.154843187367461 0.0804844782007964 0.238561528219652 10 12 12 11 16
ACSL4 -0.195851508575644 0.0117334145738267 0.0572865806677393 -0.0411027718191281 -0.1764504391191 7 6 5 4 5
ACSS1 0.0561611690887765 -0.0694272104560142 0.0289844195893833 0.120309915270774 0.259184665650017 8 8 7 6 8
ACTA1;ACTC1;ACTG2;ACTA2 0.0527004072387413 0.0644195611874446 0.121580687476361 0.163898125548776 0.248776248070006 42 53 44 42 50
ACTBL2 0.1300654402917 0.141668820717618 0.165677114345566 0.247525418240353 0.26006551096246 32 26 27 15 28
ACTL6A 0.0416843990213452 -0.0593552776164212 -0.0532503847022501 -0.0725860470685965 -0.0170667241898333 15 18 15 13 16
ACTN1 0.0132614235860981 0.0788074397414689 0.101381442435624 0.318469775114951 0.335589978888356 32 37 29 31 43
ACTN4 0.0706937686646567 0.117599539419171 0.13921990874676 0.249839449027849 0.298601763027335 87 95 82 98 97
ACTR10 -0.0517201164473277 0.0295144270598775 0.144536464222374 0.241560363932244 0.128172118735759 2 5 5 5 7
ACTR1A 0.0327280829665305 0.0354017518001461 0.0888376631397036 0.159895344325305 0.18959802846009 33 34 33 35 32
ACTR1B 0.0793713169426926 0.0941562188851073 0.123166800234482 0.155533998633904 0.16483586442404 7 8 6 8 6
ACTR2 0.0725434362571422 0.0687859423231759 0.0548268186988906 0.158429362604483 0.0812779391308773 22 26 15 28 22
ACTR3 0.0953270875913338 0.0936019283609786 0.148336898302703 0.174914524199373 0.141684736335329 31 34 33 36 36
ACTR6 -0.0753272507070651 -0.00690836934217753 0.0482331848502833 -0.038014690186716 0.141334633297998 3 3 2 3 4
ACTR8 -0.0762854428089158 -0.0603241331511038 0.00850808519673984 0.105442187687309 0.0377841587252562 6 4 5 2 9
ACY1 0.00950978036738141 0.054871776708676 NA 0.188035824689806 0.110931481346029 5 5 0 2 4
ACYP1 0.114534964429027 -0.0260209707143701 0.147026374302618 0.346976681487239 0.280527392227408 6 7 5 8 7
ADA 0.157688883337578 0.161314415177978 0.178273460361325 0.226121795107688 0.233633822003081 113 104 108 114 107
ADAM10 -0.102456576650734 0.0809727102038957 -0.257252053239788 -0.183454754174942 -0.180529812810721 7 10 7 7 7
ADAR -0.0718999315656331 -0.128029388740641 0.00515963673727456 -0.0539454249627852 -0.0844725169369015 28 32 18 28 34
ADD1 0.162476512269888 0.119933605034197 0.22317168707922 0.145748960540606 0.0686043760881102 11 15 10 11 16
ADD3 0.168301080451462 0.151586375067439 0.191590235293647 0.179906835805694 0.100422172814405 8 11 7 11 10
ADH5 -0.0724488500696925 -0.0494913701651037 -0.010206942869257 0.145748960540606 0.209578254323844 22 22 19 19 23
ADI1 -0.0996318500144603 -0.256286070585092 -0.121015400961366 -0.10715219863491 -0.253384235800075 12 12 9 11 11
ADK -0.0490730966543056 -0.0415233621843505 0.0174608602720833 0.0583077132114929 0.0629419151686855 16 15 20 16 28
ADNP 0.0221266326119196 -0.0170667241898333 -0.0313951962755344 -0.118359725953057 0.00484114183462676 33 40 34 40 38
ADPGK -0.0510240030244669 0.0770562541462129 0.122962549301302 0.139108693275157 0.180315468777006 9 7 8 7 8
ADPRHL2 -0.129217063664153 -0.0812032604173944 -0.084744620868468 -0.11503324294624 -0.00863030514344 10 12 7 9 12
ADRBK1 0.141334633297998 0.0156950243795994 0.143707448230081 -0.0465609057577411 -0.00776959414591767 12 12 12 11 12
ADRM1 0.00914676698400047 -0.00302648288989857 0.084700922297491 0.130760281223716 0.160669209929854 14 14 18 16 15
ADSL 0.0134070326941032 -0.0162110331559171 -0.0154975693953256 -0.00144197417390627 -0.0597705810902547 30 32 27 29 30
ADSS 0.0037124988621428 0.0329494695276465 -0.0496307677246004 -0.133958010100549 -0.227371422583259 17 17 20 23 18
AFG3L2 -0.0663992289113827 -0.154453592679872 -0.0978804340519131 -0.103665482765697 -0.0389979787975099 28 29 26 30 32
AGFG1 0.113410835081818 0.0380211347198574 -0.0104934192484527 0.0509507159778647 -0.0301241614551288 9 8 7 8 9
AGK -0.00719550140420373 -0.136978811963504 -0.00561556740690985 0.0161034553977048 0.0919403334111066 14 16 15 14 19
AGL -0.0381552010259689 0.0413725853486158 -0.0192037339730927 0.125698769093142 0.224924166787474 25 34 27 30 33
AGPAT5 0.348408655202346 0.0154616871304986 0.0755048054550999 -0.0018742855313508 -0.0194884295913602 4 2 5 3 2
AGPS -0.00977712161152997 -0.263154625411455 -0.0462815032119102 -0.307894775512501 -0.277865757234879 23 18 17 17 18
AHCTF1 0.00739107197209097 -0.308244364393713 -0.175301033900244 -0.39780296186249 -0.0344974641994449 18 14 13 12 12
AHCY -0.0250287944915225 0.0121843726994712 0.00309067559115342 -0.0363274918177651 -0.031959741397545 41 47 45 59 49
AHCYL1 -0.0137838154330997 0.0414468205867388 0.0412686624321639 0.192068115310875 0.295251953322845 15 13 13 16 15
AHSA1 0.106777599567484 0.0479796107294068 -0.0965317426936287 -0.156526058528656 -0.197991165735134 28 31 21 32 27
AIFM1 -0.00963381939726867 -0.0268708647247453 0.0481138503003258 0.120576527755377 0.0838138346660821 35 30 29 27 30
AIMP1 -0.0146409468817531 -0.0130691500195213 0.0262785291951853 0.080408206873288 -0.0411027718191281 23 22 18 21 22
AIMP2 0.0123589749859555 0.00187672368803014 -0.0497701518163845 -0.0565835283663676 -0.0395595572557058 5 5 5 5 5
AIP 0.0347070077878084 -0.00446543677030055 0.00811630676622272 0.0399480090206738 0.0371178723571337 11 10 9 11 10
AK2 -0.00360223668019554 -0.116630912036307 -0.0980152338689595 -0.0519984677970024 -0.0489336451979224 20 22 20 21 22
AK3 -0.196103397714807 -0.252536766696175 -0.0275787274742827 -0.12366619645382 -0.0277202583559274 3 6 5 4 4
AKAP11 -0.0792927672728535 0.18984484692168 0.0653551806898618 0.344703132245407 0.0320936297098533 4 9 8 10 11
AKAP12 0.0884387938029029 0.0770866913925883 0.205147492044805 0.254134516865705 0.281614260641775 20 25 19 23 23
AKAP13 -0.00891709473605306 -0.0436244767470347 -0.0460020465445205 0.0432593451023717 -0.00504061670053016 4 3 4 5 5
AKAP8 -0.102590949588091 -0.354226457349926 -0.444773065522451 -0.771040414436778 -0.74226496704013 8 6 5 4 6
AKAP8L -0.0333701384605921 -0.197739606006356 -0.449534963478289 -0.556797246592743 -0.406645507672002 6 8 6 4 11
AKR1A1 -0.120086470672526 -0.056860943046751 -0.0146409468817531 0.114503726783476 0.121910329736139 9 9 7 11 12
AKR1B1 0.0855426302496037 0.0391176553148038 0.107026184726666 0.353689854402702 0.159718058573055 8 7 6 6 9
AKR1C3 -0.0662614422687213 -0.126576457013373 0.191244283035811 0.380821783940931 0.46871087492107 25 27 22 21 28
AKR7A2 0.0258525199344746 -0.155360662839202 -0.0220481651801731 0.103425885443164 0.270712627186045 16 15 15 15 16
AKT1 -0.173511248063922 -0.206643223983395 -0.0132121114268512 -0.042224073762985 -0.0608774728993346 6 5 6 6 7
AKT2 -0.0467005867416222 -0.0318186258263571 0.105271468321273 0.0973629629067044 -0.0199153677076859 7 4 6 5 6
ALAD 0.149152581164736 0.144887345214856 0.156627119970497 0.0954812200303314 0.368271732705947 8 8 6 5 9
ALDH16A1 -0.0413831790194062 0.00497142670553199 0.0193165859928907 0.113957177444712 0.185031286382105 12 12 12 16 14
ALDH18A1 0.0357122775082666 -0.0772429989324604 0.000577193462745493 -0.213627238511947 0.0782590139204996 35 37 35 41 42
ALDH1B1 -0.176322772640463 -0.328721595401828 -0.00920382732983982 -0.216734219600131 -0.0265876223480841 6 6 5 7 6
ALDH3A2 0.0895436253034728 -0.163112244347124 0.0503978361592641 0.00701409390856945 0.00617349764220638 12 14 10 12 13
ALDH5A1 -0.0475383887633605 0.0288225116915656 -0.0247451901971378 0.00585477886179345 0.209945318336782 4 4 3 5 5
ALDH6A1 0.0253679037446445 0.0462356320096467 0.0392510727898192 0.173416939286252 0.250131108796535 8 8 5 5 6
ALDH9A1 -0.0176369030494984 -0.119024103142275 0.0457590132971659 0.154409591152145 0.184834485912422 15 16 11 13 15
ALDOA -0.0160683686276536 0.0162639420813221 0.0360228700683359 0.0623241650803818 -0.010636636108737 101 92 84 90 95
ALDOC -0.139469495038796 -0.15224833075742 -0.0330881693321878 0.127541563304054 -0.00475305539981947 25 22 21 21 19
ALG1 -0.274052884078258 -0.58072437630872 -0.206518201665115 -0.588420820493567 -0.387362540835995 3 3 3 3 4
ALG5 0.0193750728393291 -0.198368423102519 -0.155749232677945 -0.0812032604173944 0.12360682356115 6 3 5 4 5
ALKBH5 -0.0291348040530228 -0.0536674490388253 -0.104336659814736 -0.0391383939069583 -0.0740943535738733 5 7 7 7 7
