gene_ENSG_id	gene_symbol	gene_description
5S_rRNA	ENSG00000202147	NA
7SK	ENSG00000201564	NA
A1BG	ENSG00000121410	alpha-1-B glycoprotein
A2LD1	ENSG00000134864	NA
AAAS	ENSG00000094914	aladin WD repeat nucleoporin
AACS	ENSG00000081760	acetoacetyl-CoA synthetase
AADACL1	ENSG00000144959	NA
AAGAB	ENSG00000103591	alpha- and gamma-adaptin binding protein
AAK1	ENSG00000115977	AP2 associated kinase 1
AAMDC	NA	adipogenesis associated, Mth938 domain containing
AAMP	ENSG00000127837	angio associated migratory cell protein
AAR2	NA	AAR2 splicing factor homolog
AARS	ENSG00000090861	alanyl-tRNA synthetase
AARS2	ENSG00000124608	alanyl-tRNA synthetase 2, mitochondrial
AARSD1	ENSG00000108825	alanyl-tRNA synthetase domain containing 1
AARSD1;PTGES3L-AARSD1	NA	NA
AASDH	ENSG00000157426	aminoadipate-semialdehyde dehydrogenase
AASDHPPT	ENSG00000149313	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase
AATF	ENSG00000108270	apoptosis antagonizing transcription factor
AB019438.63	ENSG00000228966	NA
AB019441.29	ENSG00000225200	NA
ABAT	ENSG00000183044	4-aminobutyrate aminotransferase
ABCA1	ENSG00000165029	ATP binding cassette subfamily A member 1
ABCA2	ENSG00000107331	ATP binding cassette subfamily A member 2
ABCA5	ENSG00000154265	ATP binding cassette subfamily A member 5
ABCA7	ENSG00000064687	ATP binding cassette subfamily A member 7
ABCB10	ENSG00000135776	ATP binding cassette subfamily B member 10
ABCB6	ENSG00000115657	ATP binding cassette subfamily B member 6 (Langereis blood group)
ABCB7	ENSG00000131269	ATP binding cassette subfamily B member 7
ABCB8	ENSG00000197150	ATP binding cassette subfamily B member 8
ABCB9	ENSG00000150967	ATP binding cassette subfamily B member 9
ABCC1	ENSG00000103222	ATP binding cassette subfamily C member 1
ABCC10	ENSG00000124574	ATP binding cassette subfamily C member 10
ABCC2	ENSG00000023839	ATP binding cassette subfamily C member 2
ABCC4	ENSG00000125257	ATP binding cassette subfamily C member 4
ABCC5	ENSG00000114770	ATP binding cassette subfamily C member 5
ABCD1	ENSG00000101986	ATP binding cassette subfamily D member 1
ABCD3	ENSG00000117528	ATP binding cassette subfamily D member 3
ABCD4	ENSG00000119688	ATP binding cassette subfamily D member 4
ABCE1	ENSG00000164163	ATP binding cassette subfamily E member 1
ABCF1	ENSG00000204574	ATP binding cassette subfamily F member 1
ABCF2	ENSG00000033050	ATP binding cassette subfamily F member 2
ABCF3	ENSG00000161204	ATP binding cassette subfamily F member 3
ABCG1	ENSG00000160179	ATP binding cassette subfamily G member 1
ABCG4	ENSG00000172350	ATP binding cassette subfamily G member 4
ABHD10	ENSG00000144827	abhydrolase domain containing 10
ABHD11	ENSG00000106077	abhydrolase domain containing 11
ABHD12	ENSG00000100997	abhydrolase domain containing 12
ABHD13	ENSG00000139826	abhydrolase domain containing 13
ABHD14A	ENSG00000114786	abhydrolase domain containing 14A
ABHD14B	ENSG00000114779	abhydrolase domain containing 14B
ABHD15	ENSG00000168792	abhydrolase domain containing 15
ABHD16A	NA	abhydrolase domain containing 16A
ABHD2	ENSG00000140526	abhydrolase domain containing 2
ABHD3	ENSG00000158201	abhydrolase domain containing 3
ABHD4	ENSG00000100439	abhydrolase domain containing 4
ABHD5	ENSG00000011198	abhydrolase domain containing 5
ABHD6	ENSG00000163686	abhydrolase domain containing 6
ABHD8	ENSG00000127220	abhydrolase domain containing 8
ABI1	ENSG00000136754	abl-interactor 1
ABI2	ENSG00000138443	abl-interactor 2
ABL1	ENSG00000097007	ABL proto-oncogene 1, non-receptor tyrosine kinase
ABL2	ENSG00000143322	ABL proto-oncogene 2, non-receptor tyrosine kinase
ABLIM1	ENSG00000099204	actin binding LIM protein 1
ABLIM2	ENSG00000163995	actin binding LIM protein family member 2
ABR	ENSG00000159842	active BCR-related
ABRACL	NA	ABRA C-terminal like
ABT1	ENSG00000146109	activator of basal transcription 1
ABTB1	ENSG00000114626	ankyrin repeat and BTB (POZ) domain containing 1
ABTB2	ENSG00000166016	ankyrin repeat and BTB (POZ) domain containing 2
AC000036.5	ENSG00000099882	NA
AC000068.5	ENSG00000185065	NA
AC000078.5	ENSG00000232926	NA
AC000123.4	ENSG00000224138	NA
AC002056.3	ENSG00000213683	NA
AC002069.5	ENSG00000228928	NA
AC002115.6	ENSG00000089336	NA
AC002126.5	ENSG00000064489	NA
AC002310.1	ENSG00000235560	NA
AC002310.2	ENSG00000245600	NA
AC002472.9	ENSG00000230513	NA
AC003002.1	ENSG00000246220	NA
AC003665.1	ENSG00000234494	NA
AC003963.1	ENSG00000229966	NA
AC004041.2	ENSG00000223442	NA
AC004049.3	ENSG00000248697	NA
AC004051.1	ENSG00000249465	NA
AC004057.1	ENSG00000196656	NA
AC004066.1	ENSG00000245205	NA
AC004067.4	ENSG00000248785	NA
AC004074.3	ENSG00000230311	NA
AC004086.1	ENSG00000089009	NA
AC004148.1	ENSG00000215099	NA
AC004223.1	ENSG00000224113	NA
AC004381.6	ENSG00000005189	NA
AC004383.4	ENSG00000223749	NA
AC004410.1	ENSG00000005206	NA
AC004447.1	ENSG00000245755	NA
AC004448.3	ENSG00000189343	NA
AC004449.1	ENSG00000196614	NA
AC004453.8	ENSG00000146677	NA
AC004460.1	ENSG00000203289	NA
AC004507.1	ENSG00000164241	NA
AC004593.3	ENSG00000235669	NA
AC004596.2	ENSG00000251119	NA
AC004687.1	ENSG00000246115	NA
AC004797.1	ENSG00000229944	NA
AC004803.1	ENSG00000250132	NA
AC004841.1	ENSG00000229811	NA
AC004863.6	ENSG00000231419	NA
AC004893.11	ENSG00000242687	NA
AC004967.8	ENSG00000183444	NA
AC004980.7	ENSG00000205485	NA
AC004985.13	ENSG00000228903	NA
AC004987.9	ENSG00000233225	NA
AC005035.1	ENSG00000233404	NA
AC005076.5	ENSG00000224046	NA
AC005077.14	ENSG00000230882	NA
AC005154.6	ENSG00000196295	NA
AC005197.1	ENSG00000248819	NA
AC005251.3	ENSG00000219451	NA
AC005258.1	ENSG00000248119	NA
AC005307.1	ENSG00000250689	NA
AC005324.4	ENSG00000233966	NA
AC005329.2	ENSG00000248015	NA
AC005332.1	ENSG00000237854	NA
AC005332.2	ENSG00000154251	NA
AC005412.1	ENSG00000178082	NA
AC005481.5	ENSG00000222012	NA
AC005484.1	ENSG00000198671	NA
AC005594.2	ENSG00000205790	NA
AC005674.1	ENSG00000249822	NA
AC005682.5	ENSG00000228649	NA
AC005726.11	ENSG00000227543	NA
AC005726.6	ENSG00000203461	NA
AC005768.1	ENSG00000215273	NA
AC005795.1	ENSG00000229113	NA
AC005822.1	ENSG00000235554	NA
AC005840.2	ENSG00000215039	NA
AC005884.1	ENSG00000227694	NA
AC005971.1	ENSG00000250690	NA
AC005971.3	ENSG00000225436	NA
AC006026.9	ENSG00000224785	NA
AC006028.9	ENSG00000228246	NA
AC006064.1	ENSG00000247853	NA
AC006160.1	ENSG00000251507	NA
AC006230.3	ENSG00000250896	NA
AC006276.1	ENSG00000124455	NA
AC006427.1	ENSG00000225917	NA
AC006435.1	ENSG00000205821	NA
AC006465.3	ENSG00000219545	NA
AC006486.1	ENSG00000204957	NA
AC006504.1	ENSG00000233391	NA
AC006504.2	ENSG00000249063	NA
AC006504.3	ENSG00000247687	NA
AC006547.13	ENSG00000236540	NA
AC006978.6	ENSG00000235859	NA
AC007038.7	ENSG00000229127	NA
AC007040.7	ENSG00000239322	NA
AC007041.2	ENSG00000235411	NA
AC007099.1	ENSG00000231172	NA
AC007128.1	ENSG00000229970	NA
AC007238.1	ENSG00000231043	NA
AC007245.1	ENSG00000250924	NA
AC007246.3	ENSG00000231312	NA
AC007254.3	ENSG00000227028	NA
AC007272.2	ENSG00000225695	NA
AC007276.4	ENSG00000237652	NA
AC007276.5	ENSG00000227855	NA
AC007283.5	ENSG00000234431	NA
AC007314.1	ENSG00000246332	NA
AC007318.5	ENSG00000172974	NA
AC007383.4	ENSG00000231955	NA
AC007390.5	ENSG00000218739	NA
AC007618.1	ENSG00000246627	NA
AC007620.3	ENSG00000242539	NA
AC007842.1	ENSG00000187534	NA
AC007938.1	ENSG00000249817	NA
AC007938.2	ENSG00000245606	NA
AC007969.5	ENSG00000233762	NA
AC008013.2	ENSG00000245614	NA
AC008038.1	ENSG00000232856	NA
AC008073.5	ENSG00000115128	NA
AC008074.1	ENSG00000119862	NA
AC008105.1	ENSG00000246393	NA
AC008122.2	ENSG00000246348	NA
AC008268.3	ENSG00000232931	NA
AC008392.1	ENSG00000247217	NA
AC008494.1	ENSG00000245358	NA
AC008555.3	ENSG00000246294	NA
AC008567.1	ENSG00000244781	NA
AC008733.3	ENSG00000167637	NA
AC008735.1	ENSG00000179954	NA
AC008746.11	ENSG00000226696	NA
AC008759.1	ENSG00000245884	NA
AC008763.1	ENSG00000229833	NA
AC008870.1	ENSG00000250707	NA
AC008969.1	ENSG00000176593	NA
AC009041.3	ENSG00000249296	NA
AC009052.1	ENSG00000250743	NA
AC009053.2	ENSG00000214331	NA
AC009060.2	ENSG00000205152	NA
AC009060.3	ENSG00000247228	NA
AC009065.4	ENSG00000245458	NA
AC009086.1	ENSG00000205534	NA
AC009086.2	ENSG00000231753	NA
AC009086.4	ENSG00000205535	NA
AC009127.1	ENSG00000248902	NA
AC009133.4	ENSG00000246900	NA
AC009171.1	ENSG00000245388	NA
AC009237.1	ENSG00000229689	NA
AC009237.8	ENSG00000213283	NA
AC009299.3	ENSG00000227403	NA
AC009302.2	ENSG00000233868	NA
AC009403.2	ENSG00000216895	NA
AC009404.2	ENSG00000236255	NA
AC009487.6	ENSG00000226121	NA
AC009533.2	ENSG00000111788	NA
AC009570.1	ENSG00000250265	NA
AC009690.2	ENSG00000246762	NA
AC009712.2	ENSG00000247829	NA
AC009948.5	ENSG00000223960	NA
